Product ID,Page 1,Product Name,Product Category,Product Image,Price,Tax,Page 2,Lead Time (days),Minimum Acceptable Inventory,Current Inventory,Page 3,Min Shipment Qty,Supplier ID,Total Received,Total Shipped,Price Updated,Datasheet
Paper Towel Holder-123,,Paper Towel Holder,Kitchen Essentials,https://storage.googleapis.com/cloud-training/AppSheet/products/Paper%20towel%20holder.png,8,0.4,,5,20,22,,5,,34,12,09/03/2024 16:36:07,
Drawer Organizers-124,,Drawer Organizers,Kitchen Essentials,https://storage.googleapis.com/cloud-training/AppSheet/products/Drawer%20organizer.png,8.92,0.446,,9,10,14,,5,homesupply123,20,6,,
Cabinet Organizers-125,,Cabinet Organizers,Kitchen Essentials,https://storage.googleapis.com/cloud-training/AppSheet/products/Cabinet%20organisers.png,22.99,1.1495,,7,15,28,,5,homesupply123,44,16,,
Dish Rack/Drying Mat-126,,Dish Rack/Drying Mat,Kitchen Essentials,https://storage.googleapis.com/cloud-training/AppSheet/products/Dish%20Rack_Drying%20Mat.png,30,1.5,,5,4,16,,5,homesupply123,21,5,,
Spice Rack-127,,Spice Rack,Kitchen Essentials,https://storage.googleapis.com/cloud-training/AppSheet/products/Spice%20rack.png,22.03,1.1015,,9,6,53,,5,homesupply123,66,13,,
Water Filtration-128,,Water Filtration,Kitchen Essentials,https://storage.googleapis.com/cloud-training/AppSheet/products/Water%20filtration.png,19.99,0.9995,,9,20,779,,10,homesupply123,800,21,,
Cutting Board-129,,Cutting Board,Kitchen Essentials,https://storage.googleapis.com/cloud-training/AppSheet/products/Cutting%20Board.png,15,0.75,,9,5,9,,10,homesupply123,15,6,,
Kitchen Towels/Mitts-130,,Kitchen Towels/Mitts,Kitchen Essentials,https://storage.googleapis.com/cloud-training/AppSheet/products/Kitchen%20Towels_Mitts.png,8,0.4,,10,10,19,,5,bathdepot124,30,11,,
Shelf Liners-131,,Shelf Liners,Kitchen Essentials,https://storage.googleapis.com/cloud-training/AppSheet/products/Shelf%20Liners.png,12,0.6,,5,10,19,,7,kitchensource125,30,11,,
Food Storage-132,,Food Storage,Kitchen Essentials,https://storage.googleapis.com/cloud-training/AppSheet/products/Food%20storage.png,14,0.7,,6,5,9,,5,homesupply123,15,6,,
Placemats-134,,Placemats,Kitchen Essentials,https://storage.googleapis.com/cloud-training/AppSheet/products/Placemats.png,10.01,0.5005,,10,10,7,,5,kitchensource125,12,5,02/08/2022 09:48:47,
Bath Rug-139,,Bath Rug,Bath,https://storage.googleapis.com/cloud-training/AppSheet/products/Bath%20Rug.png,30,1.5,,10,10,19,,5,bathdepot124,30,11,,
Bath/Hand Towels-140,,Bath/Hand Towels,Bath,https://storage.googleapis.com/cloud-training/AppSheet/products/Bath%20Hand%20Towels.png,22,1.1,,8,5,9,,5,kitchensource125,15,6,,
Tub Mat-141,,Tub Mat,Bath,https://storage.googleapis.com/cloud-training/AppSheet/products/Tub%20Mat.png,3,0.15,,6,15,29,,5,homesupply123,45,16,,
Shower Rod-148,,Shower Rod,Bath,https://storage.googleapis.com/cloud-training/AppSheet/products/Shower%20rod.png,24,1.2,,7,10,9,,5,bathdepot124,15,6,,
Curtains & Drapes-154,,Curtains & Drapes,Windows,https://storage.googleapis.com/cloud-training/AppSheet/products/Curtains%20_%20Drapes.png,13,0.65,,6,10,19,,5,bathdepot124,30,11,,
Blackout Options-155,,Blackout Options,Windows,https://storage.googleapis.com/cloud-training/AppSheet/products/Blackout%20options.png,22,1.1,,8,20,19,,5,kitchensource125,30,11,01/27/2022 11:51:15,Products_Files_/Blackout Options-155.Datasheet.200710.pdf
Blinds & Shades-156,,Blinds & Shades,Windows,https://storage.googleapis.com/cloud-training/AppSheet/products/Blinds%20_%20Shades.png,4,0.2,,8,5,9,,5,homesupply123,15,6,,
Sheers-157,,Sheers,Windows,https://storage.googleapis.com/cloud-training/AppSheet/products/Sheers.png,6,0.3,,5,15,29,,5,bathdepot124,45,16,,
Hand Soap-163,,Hand Soap,Cleaning & Laundy,https://storage.googleapis.com/cloud-training/AppSheet/products/Hand%20Soap.png,7,0.35,,5,10,19,,5,bathdepot124,30,11,,
Sponges/Gloves-164,,Sponges/Gloves,Cleaning & Laundy,https://storage.googleapis.com/cloud-training/AppSheet/products/Sponges%20Gloves.png,12,0.6,,9,5,9,,5,kitchensource125,15,6,,
Dust Pan/Mop/Broom-165,,Dust Pan/Mop/Broom,Cleaning & Laundy,https://storage.googleapis.com/cloud-training/AppSheet/products/Dust%20Pan%20mop%20broom.png,26,1.3,,5,15,29,,5,homesupply123,45,16,,
Light Bulbs-172,,Light Bulbs,Utility,https://storage.googleapis.com/cloud-training/AppSheet/products/Light%20Bulbs.png,28,1.4,,8,5,9,,5,bathdepot124,15,6,,
Extension Cords-173,,Extension Cords,Utility,https://storage.googleapis.com/cloud-training/AppSheet/products/Extension%20Cords.png,9,0.45,,10,15,29,,5,kitchensource125,45,16,,
Surge Protectors-174,,Surge Protectors,Utility,https://storage.googleapis.com/cloud-training/AppSheet/products/Surge%20Protectors.png,18,0.9,,8,4,7,,5,homesupply123,12,5,,
Hangers-184,,Hangers,Closet Organization,https://storage.googleapis.com/cloud-training/AppSheet/products/Hangers.png,21,1.05,,9,20,39,,10,bathdepot124,60,21,,
